orf_name,coverage_rep1,coverage_rep2
YDR035W,0.98,0.98
YDR036C,0.98,0.98
YDR037W,0.98,0.98
YDR038C,0.0,0.0
YDR039C,0.0,0.0
YDR040C,0.98,0.98
YDR041W,0.98,0.98
YDR042C,0.98,0.98
YDR043C,0.98,0.98
YDR044W,0.98,0.98
YDR045C,0.98,0.98
YDR046C,0.98,0.98
YDR047W,0.98,0.98
YDR049W,0.98,0.98
YDR050C,0.98,0.98
YDR051C,0.98,0.98
YDR052C,0.98,0.98
YDR054C,0.98,0.98
YDR055W,0.98,0.98
YDR056C,0.98,0.98
YDR057W,0.98,0.98
YDR058C,0.98,0.98
YDR059C,0.98,0.98
YDR060W,0.98,0.98
YDR061W,0.98,0.98
YDR062W,0.98,0.98
YDR063W,0.98,0.98
YDR064W,0.98,0.98
YDR065W,0.98,0.98
YDR066C,0.98,0.98
YDR067C,0.98,0.98
YDR068W,0.98,0.98
YDR069C,0.98,0.98
YDR070C,0.98,0.98
YDR071C,0.98,0.98
YDR072C,0.98,0.98
YDR073W,0.98,0.98
YDR074W,0.98,0.98
YDR075W,0.98,0.98
YDR076W,0.98,0.98
YDR077W,0.98,0.98
YDR078C,0.98,0.98
YDR079W,0.98,0.98
YDR079C-A,0.98,0.98
YDR080W,0.98,0.98
YDR081C,0.98,0.98
YDR082W,0.98,0.98
YDR083W,0.98,0.98
YDR084C,0.98,0.98
YDR085C,0.98,0.98
YDR086C,0.98,0.98
YDR087C,0.98,0.98
YDR088C,0.98,0.98
YDR089W,0.98,0.98
YDR090C,0.98,0.98
YDR091C,0.98,0.98
YDR092W,0.98,0.98
YDR093W,0.98,0.98
YDR096W,0.98,0.98
YDR097C,0.98,0.98
YDR098C,0.98,0.98
YDR099W,0.98,0.98
YDR100W,0.98,0.98
YDR101C,0.98,0.98
YDR103W,0.98,0.98
YDR104C,0.98,0.98
YDR105C,0.98,0.98
