Gene_ID,Gene_name,Fourier_score,P_value,FDR
YKL033W,TTI1,7.73889657722014,0.00288,0.1118
YOL159C-A,YOL159C-A,7.93957208201092,0.00291,0.112185517241379
YFR031C,SMC2,7.59710537428099,0.00298,0.113310810810811
YBL092W,RPL32,7.85465171804375,0.00299,0.113310810810811
YFR048W,RMD8,7.64929408106345,0.003,0.113310810810811
YDR055W,PST1,7.8066500833361,0.00303,0.113493939393939
YGR289C,MAL11,7.74908092820194,0.00305,0.113493939393939
YKR019C,IRS4,7.55094204018349,0.00308,0.113493939393939
YKR022C,NTR2,7.70837525342585,0.00309,0.113493939393939
YGR074W,SMD1,7.73030316051173,0.00313,0.113493939393939
YKL186C,MTR2,7.59249069480122,0.00315,0.113493939393939
YGR109C,CLB6,7.33328622645693,0.00318,0.113493939393939
YPL027W,SMA1,8.01236006800272,0.00318,0.113493939393939
YKL133C,YKL133C,7.68005592836062,0.00324,0.113493939393939
YBR132C,AGP2,7.83519587406469,0.00327,0.113493939393939
YBR255C-A,YBR255C-A,7.87608714358708,0.00327,0.113493939393939
YLL026W,HSP104,7.76430359045989,0.00327,0.113493939393939
YHL040C,ARN1,7.8555976478595,0.00331,0.113493939393939
YLR300W,EXG1,7.91036437377878,0.00331,0.113493939393939
YBR095C,RXT2,7.82708922989183,0.00332,0.113493939393939
YHR154W,RTT107,7.46710760143144,0.00335,0.113493939393939
YPL116W,HOS3,7.81352303477408,0.00335,0.113493939393939
YDR371W,CTS2,7.59059402206338,0.0034,0.114477844311377
YGL090W,LIF1,7.85269828036606,0.00342,0.114477844311377
YKL164C,PIR1,7.73321763918114,0.00346,0.114776923076923
YJR003C,YJR003C,7.84325551221713,0.00347,0.114776923076923
YLR110C,CCW12,7.66077222416805,0.00355,0.116732352941176
YHR207C,SET5,7.50857931799558,0.0036,0.117684210526316
YCR088W,ABP1,7.77432571618329,0.00366,0.118867816091954
YDR027C,VPS54,7.64173643616352,0.00369,0.118867816091954
YNR064C,YNR064C,7.55574733844248,0.0037,0.118867816091954
YGL237C,HAP2,7.67084355561491,0.00378,0.120744
YLR360W,VPS38,7.89860004270537,0.00384,0.120806111111111
YOL145C,CTR9,7.56719586916009,0.00384,0.120806111111111
YJL058C,BIT61,7.63930054908305,0.00385,0.120806111111111
YBR056W,YBR056W,7.78481324779094,0.00387,0.120806111111111
YPL108W,YPL108W,7.64191251222007,0.00389,0.120806111111111
YKR067W,GPT2,7.56977551937734,0.00393,0.121374033149171
YNL003C,PET8,7.78331369508361,0.00419,0.127597826086957
YGR067C,YGR067C,7.77305410884749,0.00419,0.127597826086957
